tijdstip;locatie;component;waarde;LKI
2015-08-02 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,07;1
2015-08-02 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,34;2
2015-08-02 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;44,83;4
2015-08-02 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;12,87;2
2015-08-02 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;38,38;4
2015-08-02 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,29;3
2015-08-02 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;4,74;1
2015-08-02 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,55;1
2015-08-02 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,2;3
2015-08-02 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,12;1
2015-08-02 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,06;2
2015-08-02 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,06;1
2015-08-02 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,54;3
2015-08-02 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,96;1
2015-08-02 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;19,89;2
2015-08-02 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,6;3
2015-08-02 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,59;1
2015-08-02 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,01;1
2015-08-02 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,14;2
2015-08-02 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;26,43;3
2015-08-02 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;5,64;1
2015-08-02 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,13;3
2015-08-02 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;4,56;1
2015-08-02 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,21;1
2015-08-02 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,58;3
2015-08-02 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,22;1
2015-08-02 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,83;3
2015-08-02 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,76;1
2015-08-02 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;31,09;4
2015-08-02 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;32,43;4
2015-08-02 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,23;1
2015-08-03 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,27;1
2015-08-03 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;33,8;4
2015-08-03 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,92;1
2015-08-03 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;34,31;4
2015-08-03 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,5;1
2015-08-03 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;23,91;3
2015-08-03 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;17,61;2
