tijdstip;locatie;component;waarde;LKI
2015-08-01 18:00:00+02:00;Den Haag-Bleriotlaan;PM10;12,11;2
2015-08-01 19:00:00+02:00;Den Haag-Bleriotlaan;NO;0,65;1
2015-08-01 19:00:00+02:00;Den Haag-Bleriotlaan;O3;114,19;7
2015-08-01 19:00:00+02:00;Den Haag-Bleriotlaan;PM10;26,19;3
2015-08-01 19:00:00+02:00;Den Haag-Bleriotlaan;NO2;12,02;2
2015-08-01 20:00:00+02:00;Den Haag-Bleriotlaan;O3;102,54;7
2015-08-01 20:00:00+02:00;Den Haag-Bleriotlaan;NO;0,93;1
2015-08-01 20:00:00+02:00;Den Haag-Bleriotlaan;NO2;15,91;2
2015-08-01 20:00:00+02:00;Den Haag-Bleriotlaan;PM10;3,15;1
2015-08-01 21:00:00+02:00;Den Haag-Bleriotlaan;PM10;27,47;3
2015-08-01 21:00:00+02:00;Den Haag-Bleriotlaan;NO2;16,01;2
2015-08-01 21:00:00+02:00;Den Haag-Bleriotlaan;O3;96,28;6
2015-08-01 21:00:00+02:00;Den Haag-Bleriotlaan;NO;0,44;1
2015-08-01 22:00:00+02:00;Den Haag-Bleriotlaan;NO2;43,9;4
2015-08-01 22:00:00+02:00;Den Haag-Bleriotlaan;O3;66,53;5
2015-08-01 22:00:00+02:00;Den Haag-Bleriotlaan;PM10;40,27;4
2015-08-01 22:00:00+02:00;Den Haag-Bleriotlaan;NO;0,44;1
2015-08-01 23:00:00+02:00;Den Haag-Bleriotlaan;PM10;38,99;4
2015-08-01 23:00:00+02:00;Den Haag-Bleriotlaan;O3;24,13;2
2015-08-01 23:00:00+02:00;Den Haag-Bleriotlaan;NO;4,59;1
2015-08-01 23:00:00+02:00;Den Haag-Bleriotlaan;NO2;79,87;7
2015-08-02 00:00:00+02:00;Den Haag-Bleriotlaan;NO2;103,98;8
2015-08-02 00:00:00+02:00;Den Haag-Bleriotlaan;PM10;18,51;2
2015-08-02 00:00:00+02:00;Den Haag-Bleriotlaan;O3;1,45;1
2015-08-02 00:00:00+02:00;Den Haag-Bleriotlaan;NO;33,16;3
2015-08-02 01:00:00+02:00;Den Haag-Bleriotlaan;NO;13,4;2
2015-08-02 01:00:00+02:00;Den Haag-Bleriotlaan;PM10;31,31;4
2015-08-02 01:00:00+02:00;Den Haag-Bleriotlaan;O3;5,99;1
2015-08-02 01:00:00+02:00;Den Haag-Bleriotlaan;NO2;90,58;7
2015-08-02 02:00:00+02:00;Den Haag-Bleriotlaan;PM10;26,19;3
2015-08-02 02:00:00+02:00;Den Haag-Bleriotlaan;O3;3,59;1
2015-08-02 03:00:00+02:00;Den Haag-Bleriotlaan;NO2;71,65;6
2015-08-02 03:00:00+02:00;Den Haag-Bleriotlaan;PM10;19,79;2
2015-08-02 03:00:00+02:00;Den Haag-Bleriotlaan;O3;23,7;2
2015-08-02 03:00:00+02:00;Den Haag-Bleriotlaan;NO;2,8;1
2015-08-02 04:00:00+02:00;Den Haag-Bleriotlaan;PM10;33,87;4
2015-08-02 04:00:00+02:00;Den Haag-Bleriotlaan;NO2;55,5;5
2015-08-02 04:00:00+02:00;Den Haag-Bleriotlaan;NO;2,59;1
2015-08-02 05:00:00+02:00;Den Haag-Bleriotlaan;PM10;33,87;4
2015-08-02 05:00:00+02:00;Den Haag-Bleriotlaan;O3;7,48;1
2015-08-02 05:00:00+02:00;Den Haag-Bleriotlaan;NO;8,62;1
2015-08-02 05:00:00+02:00;Den Haag-Bleriotlaan;NO2;55,26;5
2015-08-02 06:00:00+02:00;Den Haag-Bleriotlaan;PM10;26,19;3
2015-08-02 06:00:00+02:00;Den Haag-Bleriotlaan;NO;6,91;1
2015-08-02 06:00:00+02:00;Den Haag-Bleriotlaan;O3;4,18;1
2015-08-02 06:00:00+02:00;Den Haag-Bleriotlaan;NO2;58,84;5
2015-08-02 07:00:00+02:00;Den Haag-Bleriotlaan;PM10;31,31;4
2015-08-02 07:00:00+02:00;Den Haag-Bleriotlaan;NO2;53,58;5
2015-08-02 07:00:00+02:00;Den Haag-Bleriotlaan;O3;7,63;1
2015-08-02 07:00:00+02:00;Den Haag-Bleriotlaan;NO;7,78;1
2015-08-02 08:00:00+02:00;Den Haag-Bleriotlaan;NO2;37,52;4
2015-08-02 08:00:00+02:00;Den Haag-Bleriotlaan;O3;28,18;2
2015-08-02 08:00:00+02:00;Den Haag-Bleriotlaan;NO;5,57;1
